type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-12c-643e89839393,Purple,#5E43B7,1,12,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-643e89839393.stl
r2-p4-12c-a2f28e04cb09,Purple,#5E43B7,3,12,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[5,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-a2f28e04cb09.stl
r2-p4-12c-be23a754b8df,Purple,#5E43B7,1,12,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,1],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-be23a754b8df.stl
r2-p4-13c-412272d3fa2c,Purple,#5E43B7,1,13,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[5,1],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-13c-412272d3fa2c.stl
r2-p4-13c-6b7950654930,Purple,#5E43B7,1,13,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[5,1],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-13c-6b7950654930.stl
r2-p4-13c-c48f51e4895a,Purple,#5E43B7,1,13,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-13c-c48f51e4895a.stl
r2-p4-14c-0ecd24c23207,Hot pink,#F5547C,1,14,"[[0,1],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0],[10,0],[11,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-14c-0ecd24c23207.stl
r2-p4-14c-37b32b6e254d,Purple,#5E43B7,1,14,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1],[4,0],[4,1],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-14c-37b32b6e254d.stl
r2-p4-14c-443e3b6c2c29,Purple,#5E43B7,4,14,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[5,1],[6,0],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-14c-443e3b6c2c29.stl
r2-p4-14c-eca17b34912e,Purple,#5E43B7,1,14,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,2],[3,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-14c-eca17b34912e.stl
r2-p4-15c-32d1fb4a9a30,Purple,#5E43B7,1,15,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-15c-32d1fb4a9a30.stl
r2-p4-15c-c98bfb65cf4a,Purple,#5E43B7,1,15,"[[0,2],[0,3],[1,2],[1,3],[2,2],[2,3],[3,2],[4,0],[4,1],[4,2],[5,0],[5,1],[6,0],[6,1],[7,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-15c-c98bfb65cf4a.stl
r2-p4-16c-4a708adbfba5,Purple,#5E43B7,3,16,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1],[3,2],[3,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-16c-4a708adbfba5.stl
r2-p4-16c-61bd7c40319c,Purple,#5E43B7,1,16,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1],[3,2],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-16c-61bd7c40319c.stl
r2-p4-16c-a5831f166142,Purple,#5E43B7,1,16,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[3,0],[3,1],[3,2],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-16c-a5831f166142.stl
r2-p4-17c-3e650122b59f,Purple,#5E43B7,1,17,"[[0,1],[0,2],[1,1],[1,2],[2,1],[2,2],[3,1],[3,2],[4,0],[4,1],[4,2],[5,0],[5,1],[5,2],[6,0],[6,1],[7,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-17c-3e650122b59f.stl
r2-p4-17c-5fc4a6bda602,Purple,#5E43B7,1,17,"[[0,0],[0,1],[0,2],[0,3],[0,4],[1,0],[1,1],[1,2],[1,3],[1,4],[2,1],[2,2],[2,3],[2,4],[3,3],[3,4],[4,4]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-17c-5fc4a6bda602.stl
r2-p4-17c-7addd63c6480,Purple,#5E43B7,1,17,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,1],[3,2],[3,3],[4,2],[4,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-17c-7addd63c6480.stl
r2-p4-17c-938aca248f1d,Purple,#5E43B7,1,17,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,1],[5,1],[6,0],[6,1],[7,0],[7,1],[8,0],[8,1],[9,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-17c-938aca248f1d.stl
r2-p4-17c-c82a078a6b4c,Purple,#5E43B7,1,17,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,1],[2,2],[3,1],[3,2],[4,1],[4,2],[5,1],[5,2],[5,3],[6,2],[6,3],[7,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-17c-c82a078a6b4c.stl
r2-p4-1c-4ebe150eb1b7,Purple,#5E43B7,656,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-4ebe150eb1b7.stl
r2-p4-1c-4ebe150eb1b7,Jade white,#FFFFFF,44,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-4ebe150eb1b7.stl
