type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-13c-6433f17c72d3,Yellow,#F4EE2A,1,13,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[6,0],[7,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-13c-6433f17c72d3.stl
r2-p4-14c-123cdbebe90c,Pumpkin orange,#FF9016,1,14,"[[0,0],[0,1],[1,0],[2,0],[2,1],[3,0],[3,1],[4,1],[5,0],[5,1],[6,0],[6,1],[7,0],[8,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-14c-123cdbebe90c.stl
r2-p4-16c-4a708adbfba5,Yellow,#F4EE2A,1,16,"[[0,0],[0,1],[0,2],[0,3],[1,0],[1,1],[1,2],[1,3],[2,0],[2,1],[2,2],[2,3],[3,0],[3,1],[3,2],[3,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-16c-4a708adbfba5.stl
r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,518,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-4ebe150eb1b7.stl
r2-p4-1c-4ebe150eb1b7,Pumpkin orange,#FF9016,20,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-4ebe150eb1b7.stl
r2-p4-1c-4ebe150eb1b7,Black,#000000,54,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-4ebe150eb1b7.stl
r2-p4-1c-c084a429390d,Yellow,#F4EE2A,215,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-c084a429390d.stl
r2-p4-1c-c084a429390d,Pumpkin orange,#FF9016,19,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-c084a429390d.stl
r2-p4-1c-c084a429390d,Black,#000000,1,1,"[[0,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-1c-c084a429390d.stl
r2-p4-21c-b29382998e05,Pumpkin orange,#FF9016,1,21,"[[0,0],[1,0],[1,1],[1,2],[1,3],[2,1],[2,2],[2,3],[2,4],[2,5],[3,1],[3,2],[3,3],[3,4],[3,5],[4,2],[4,3],[4,4],[5,2],[5,3],[5,4]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-21c-b29382998e05.stl
r2-p4-22c-9a3a1818555a,Pumpkin orange,#FF9016,1,22,"[[0,0],[0,1],[0,2],[1,2],[1,3],[1,4],[2,4],[2,5],[2,6],[3,6],[4,6],[5,6],[6,3],[6,4],[6,5],[6,6],[7,2],[7,3],[7,4],[8,0],[8,1],[8,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-22c-9a3a1818555a.stl
r2-p4-2c-32e56c90317c,Yellow,#F4EE2A,74,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-32e56c90317c.stl
r2-p4-2c-32e56c90317c,Pumpkin orange,#FF9016,13,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-32e56c90317c.stl
r2-p4-2c-714146ac709f,Yellow,#F4EE2A,122,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-714146ac709f.stl
r2-p4-2c-714146ac709f,Pumpkin orange,#FF9016,2,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-714146ac709f.stl
r2-p4-2c-714146ac709f,Black,#000000,1,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-714146ac709f.stl
r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,568,2,"[[0,0],[1,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-2c-88381088bd9d.stl
